issue,device,severity,urgent,rating,num_reviews,success_rate,experience_years,distance_km,response_time_min,base_price,service_type,availability,selected
wifi_issue,laptop,high,no,2.1,2532,0.8,10,1.33,119,918,home_service,busy,1
not_working,printer,medium,no,4.0,138,0.36,9,1.05,23,2187,shop_visit,available,1
not_working,printer,low,no,1.9,2070,0.88,8,2.01,62,920,shop_visit,available,1
strange_noise,router,low,no,1.5,125,0.31,6,14.09,100,880,home_service,available,0
slow_performance,printer,medium,yes,1.6,1425,0.86,4,1.12,50,2723,shop_visit,busy,1
overheating,scanner,medium,yes,3.9,1807,0.54,15,9.54,24,2020,home_service,available,1
not_working,desktop,medium,yes,1.7,954,0.81,0,8.59,7,1659,home_service,available,0
slow_performance,laptop,medium,yes,2.5,1012,0.52,2,8.72,69,2338,shop_visit,available,1
broken_screen,laptop,high,no,2.6,462,0.62,14,11.06,88,2760,home_service,busy,0
overheating,printer,low,no,2.8,154,0.43,1,13.23,6,265,home_service,available,1
slow_performance,desktop,medium,no,2.5,802,0.4,7,14.47,40,2583,shop_visit,busy,0
strange_noise,scanner,low,yes,3.7,927,0.58,9,10.64,64,966,home_service,available,1
overheating,router,medium,yes,2.9,597,0.69,4,11.87,33,2656,shop_visit,busy,1
broken_screen,scanner,low,no,1.8,1962,0.86,8,12.24,116,971,shop_visit,available,0
broken_screen,router,high,yes,2.9,2231,0.69,12,2.49,73,1891,home_service,available,0
overheating,cctv,low,no,2.1,1738,0.75,4,3.2,28,232,shop_visit,available,1
wifi_issue,printer,medium,no,4.1,1450,0.71,11,5.56,111,1665,home_service,offline,0
slow_performance,cctv,low,no,1.7,1203,0.34,5,7.95,78,363,shop_visit,busy,0
overheating,scanner,low,no,1.6,948,0.71,10,7.92,85,2010,shop_visit,available,1
wifi_issue,cctv,low,no,3.1,1811,0.8,12,5.68,115,735,shop_visit,busy,1
not_working,desktop,high,yes,3.8,924,0.74,15,9.3,90,1264,home_service,available,0
wifi_issue,scanner,low,no,2.3,51,0.5,6,7.47,80,2689,home_service,available,1
slow_performance,cctv,high,yes,3.3,1575,0.39,4,8.45,72,1647,home_service,busy,0
power_issue,cctv,medium,yes,4.6,2979,0.66,7,2.99,95,2492,home_service,available,1
not_working,router,medium,no,4.7,405,0.46,5,5.58,104,1939,shop_visit,busy,0
strange_noise,desktop,medium,yes,1.7,1883,0.64,4,12.28,11,2049,home_service,available,1
not_working,desktop,low,yes,2.3,2384,0.92,4,4.71,27,2677,home_service,available,1
overheating,desktop,medium,yes,4.1,2282,0.55,1,11.89,72,2827,home_service,available,0
strange_noise,router,low,yes,2.3,221,0.65,3,1.98,73,2813,home_service,busy,0
broken_screen,cctv,medium,no,5.0,151,0.32,3,11.22,82,2444,home_service,available,1
broken_screen,laptop,high,no,4.1,161,0.47,9,4.75,36,831,shop_visit,busy,1
broken_screen,cctv,high,yes,3.2,2891,0.41,10,9.23,101,1434,shop_visit,available,0
slow_performance,router,high,no,2.8,28,0.35,1,6.87,91,2023,shop_visit,busy,0
broken_screen,router,low,no,2.6,1057,0.59,14,11.14,54,2124,shop_visit,available,0
not_working,router,medium,yes,3.2,2772,0.65,7,11.89,86,1714,home_service,busy,0
strange_noise,printer,low,no,3.3,2427,0.83,14,6.67,102,1074,shop_visit,available,1
power_issue,desktop,low,no,3.0,1038,0.69,4,8.35,32,2544,shop_visit,available,1
slow_performance,router,medium,no,2.3,2831,0.9,5,13.9,114,2958,home_service,busy,1
strange_noise,printer,low,no,4.4,775,0.63,9,3.28,104,780,shop_visit,available,1
overheating,scanner,medium,no,3.5,1694,0.74,12,12.11,27,898,home_service,busy,0
wifi_issue,scanner,low,no,2.6,2478,0.88,14,13.95,58,829,home_service,busy,1
broken_screen,printer,high,no,4.7,185,0.43,9,7.01,113,1782,shop_visit,available,1
strange_noise,laptop,low,no,1.5,2067,0.72,0,4.59,45,2921,home_service,busy,1
power_issue,laptop,low,no,2.5,529,0.9,12,9.96,87,2244,home_service,offline,0
wifi_issue,laptop,medium,yes,2.1,2664,0.48,14,6.2,73,2843,home_service,available,1
overheating,desktop,medium,yes,4.3,2442,0.87,4,4.93,58,2894,home_service,offline,1
overheating,laptop,high,yes,2.5,2811,0.77,9,6.67,97,1080,home_service,available,0
strange_noise,laptop,low,no,2.9,2826,0.92,12,9.74,112,875,home_service,available,1
power_issue,scanner,low,no,2.8,1668,0.65,2,9.89,48,2156,home_service,available,1
slow_performance,scanner,medium,no,2.2,964,0.64,5,14.6,15,1957,home_service,available,1
wifi_issue,laptop,high,yes,5.0,1167,0.65,6,13.45,80,2271,shop_visit,available,1
not_working,scanner,low,yes,4.6,966,0.59,7,0.92,56,838,home_service,offline,0
slow_performance,desktop,high,yes,3.4,2553,0.91,5,6.49,62,1067,shop_visit,available,1
wifi_issue,router,high,no,1.7,2750,0.38,10,4.96,25,1395,shop_visit,available,0
power_issue,router,medium,yes,4.6,141,0.76,11,13.44,54,2443,shop_visit,available,0
broken_screen,router,low,yes,2.4,1226,0.67,8,6.49,115,1112,shop_visit,busy,0
strange_noise,printer,high,yes,3.5,284,0.51,10,7.85,111,283,shop_visit,busy,1
overheating,cctv,low,no,4.7,2405,0.38,0,2.28,25,2786,shop_visit,busy,1
slow_performance,cctv,low,yes,3.9,1347,0.54,11,1.69,106,1204,home_service,busy,0
slow_performance,desktop,medium,yes,3.6,602,0.78,4,6.27,57,854,shop_visit,available,1
slow_performance,router,low,no,4.8,391,0.73,4,12.24,91,668,shop_visit,available,0
strange_noise,printer,medium,yes,2.6,1352,0.65,10,0.9,61,2977,home_service,busy,0
strange_noise,router,medium,no,2.7,1689,0.61,5,14.68,74,1468,home_service,available,0
slow_performance,cctv,high,no,3.1,1329,0.36,4,9.83,85,2897,shop_visit,busy,0
broken_screen,printer,low,yes,5.0,1614,0.51,8,3.67,90,1827,home_service,available,0
overheating,cctv,medium,no,4.3,1699,0.52,2,5.13,69,2947,home_service,available,1
not_working,scanner,medium,no,4.6,1943,0.49,9,1.06,63,1866,home_service,busy,0
slow_performance,scanner,medium,no,3.5,1433,0.95,11,12.05,119,1457,home_service,available,1
wifi_issue,cctv,high,no,3.2,2149,0.74,8,14.17,117,2142,shop_visit,available,1
not_working,laptop,low,no,2.6,1901,0.32,1,7.85,62,1714,shop_visit,busy,0
strange_noise,printer,high,yes,3.9,1631,0.76,6,3.08,35,2769,shop_visit,available,0
slow_performance,laptop,low,yes,3.8,2421,0.94,12,7.42,46,2604,shop_visit,offline,0
power_issue,cctv,medium,yes,3.7,2374,0.86,7,2.51,97,802,home_service,available,1
strange_noise,desktop,high,no,3.5,2261,0.42,7,14.25,74,1472,shop_visit,available,1
power_issue,printer,medium,no,3.4,518,0.66,14,8.03,101,1684,home_service,available,1
not_working,cctv,medium,yes,1.8,1552,0.51,10,5.16,101,1662,home_service,available,1
not_working,desktop,low,yes,1.5,2907,0.85,15,2.62,66,1802,shop_visit,available,0
overheating,scanner,high,no,4.7,11,0.73,6,7.58,38,1937,shop_visit,busy,1
not_working,printer,medium,no,3.1,2191,0.51,10,9.05,92,787,home_service,available,0
not_working,cctv,medium,yes,2.7,300,0.31,5,2.71,23,1539,shop_visit,offline,0
wifi_issue,scanner,low,yes,4.1,1655,0.65,14,3.85,44,2967,shop_visit,busy,1
strange_noise,scanner,high,no,4.0,1391,0.6,8,5.27,36,2193,shop_visit,offline,0
strange_noise,cctv,high,no,2.2,1114,0.88,6,1.78,112,1943,home_service,available,0
wifi_issue,scanner,high,no,4.3,91,0.71,10,4.29,107,2373,home_service,available,1
not_working,laptop,high,yes,2.0,160,0.71,9,6.67,5,621,home_service,busy,0
not_working,router,medium,yes,3.3,2667,0.59,15,10.64,20,774,home_service,available,1
not_working,desktop,low,no,4.5,363,0.95,6,7.64,48,1805,shop_visit,available,1
wifi_issue,cctv,low,yes,1.9,2737,0.74,7,3.49,51,2345,home_service,busy,1
overheating,laptop,high,yes,2.5,819,0.77,14,9.44,42,1614,home_service,available,0
overheating,desktop,high,no,2.5,279,0.78,3,1.65,73,2495,home_service,busy,0
slow_performance,router,medium,yes,4.2,2303,0.75,7,4.3,20,2984,shop_visit,busy,1
wifi_issue,cctv,high,yes,4.9,1155,0.58,4,3.26,29,1425,home_service,available,1
not_working,laptop,high,no,4.2,2674,0.48,11,6.99,106,542,home_service,busy,1
slow_performance,router,medium,yes,2.3,2415,0.77,12,1.92,62,2363,home_service,offline,0
wifi_issue,cctv,medium,yes,3.2,2349,0.63,6,12.79,11,2520,shop_visit,available,1
not_working,printer,medium,no,3.9,1406,0.77,6,5.38,5,308,shop_visit,available,1
not_working,scanner,high,yes,4.7,683,0.76,7,14.51,18,2668,shop_visit,offline,0
overheating,router,medium,yes,3.3,2152,0.67,1,10.26,104,1634,shop_visit,offline,0
slow_performance,scanner,high,no,2.4,2187,0.89,9,9.12,116,2620,home_service,available,0
power_issue,router,low,yes,3.8,1879,0.5,11,0.8,99,358,home_service,busy,1
power_issue,desktop,high,no,3.5,1251,0.35,3,13.89,91,1980,shop_visit,available,0
broken_screen,scanner,medium,no,3.4,2250,0.56,14,12.95,56,1380,shop_visit,available,0
not_working,laptop,high,yes,4.1,2528,0.48,10,3.25,29,1212,home_service,available,1
broken_screen,laptop,low,no,1.9,2101,0.83,13,7.42,30,1884,shop_visit,offline,0
broken_screen,printer,medium,no,2.0,587,0.94,6,13.22,31,1125,shop_visit,busy,1
slow_performance,cctv,high,yes,3.5,1747,0.77,1,2.42,71,2617,home_service,available,1
overheating,scanner,medium,no,4.3,1789,0.59,1,11.46,15,2275,shop_visit,available,1
wifi_issue,desktop,low,yes,2.0,1013,0.46,4,11.27,27,2475,shop_visit,available,0
power_issue,laptop,medium,yes,4.4,1809,0.58,1,12.21,65,1913,home_service,busy,1
slow_performance,desktop,medium,yes,1.5,1800,0.53,15,4.84,105,445,shop_visit,available,0
overheating,scanner,medium,yes,3.9,1105,0.47,2,13.03,49,1295,home_service,busy,1
strange_noise,router,medium,no,2.2,818,0.73,14,5.09,91,2372,shop_visit,available,0
broken_screen,scanner,high,no,2.5,836,0.51,8,8.99,104,355,home_service,busy,0
overheating,scanner,high,yes,4.4,2014,0.42,12,12.47,42,2343,shop_visit,offline,0
overheating,desktop,high,yes,4.2,1983,0.82,11,13.68,61,678,shop_visit,available,0
not_working,laptop,low,no,4.3,1689,0.53,7,9.3,112,1197,shop_visit,available,0
not_working,router,low,yes,4.7,2045,0.75,13,9.6,33,942,home_service,available,1
slow_performance,desktop,low,no,3.8,1034,0.53,8,5.15,86,2520,home_service,available,0
overheating,printer,low,no,3.4,1366,0.45,6,1.39,67,2006,home_service,busy,1
slow_performance,laptop,low,no,3.1,1395,0.42,6,10.84,41,1036,shop_visit,busy,0
power_issue,printer,medium,yes,2.2,2004,0.77,7,7.26,102,2775,shop_visit,available,1
slow_performance,laptop,medium,no,3.2,2891,0.68,15,4.24,70,2821,home_service,busy,0
broken_screen,laptop,medium,no,4.6,1781,0.48,14,8.04,27,366,home_service,busy,1
strange_noise,printer,high,yes,3.9,2195,0.61,6,1.18,46,2631,shop_visit,available,1
slow_performance,laptop,low,yes,1.5,2873,0.86,15,5.2,33,422,home_service,available,0
slow_performance,cctv,medium,yes,1.8,2461,0.75,4,13.89,89,969,home_service,available,1
overheating,scanner,high,no,4.4,2795,0.63,13,12.29,16,1558,shop_visit,available,1
broken_screen,scanner,high,yes,3.3,1382,0.57,14,10.72,79,419,shop_visit,busy,0
slow_performance,desktop,low,yes,2.9,1071,0.55,14,6.29,46,334,shop_visit,available,1
wifi_issue,printer,medium,yes,5.0,608,0.73,4,11.09,100,448,home_service,busy,0
strange_noise,scanner,low,yes,4.9,367,0.77,15,0.8,22,1560,shop_visit,offline,0
strange_noise,laptop,medium,no,2.0,614,0.65,11,2.19,103,947,shop_visit,available,1
power_issue,scanner,high,no,4.6,2839,0.52,8,5.14,49,1190,home_service,busy,1
wifi_issue,printer,low,yes,4.6,299,0.92,12,7.18,91,2848,shop_visit,available,1
power_issue,cctv,low,yes,4.9,1798,0.34,15,11.51,20,1376,shop_visit,offline,0
power_issue,desktop,medium,no,2.2,927,0.51,7,5.53,30,1893,home_service,available,0
strange_noise,cctv,low,yes,1.6,1915,0.91,12,2.82,13,1839,home_service,busy,1
broken_screen,cctv,high,yes,3.0,25,0.49,8,14.0,116,2299,home_service,available,0
broken_screen,laptop,high,no,1.8,109,0.52,13,9.41,7,258,shop_visit,busy,0
overheating,router,medium,yes,4.5,1860,0.52,10,10.43,11,2842,shop_visit,available,1
power_issue,router,low,no,1.8,2548,0.85,1,13.32,38,2007,shop_visit,available,0
broken_screen,desktop,low,yes,4.7,2885,0.45,3,14.85,20,1128,shop_visit,busy,0
strange_noise,desktop,medium,yes,1.9,2726,0.61,7,11.76,104,318,home_service,available,0
slow_performance,cctv,high,no,3.7,1749,0.35,15,4.76,45,805,home_service,offline,1
broken_screen,laptop,high,yes,3.7,2681,0.35,8,14.67,113,982,shop_visit,busy,1
broken_screen,cctv,high,yes,2.2,1926,0.91,0,4.04,39,2558,home_service,busy,1
not_working,cctv,medium,no,4.8,1037,0.41,6,5.93,81,1629,home_service,available,1
overheating,printer,low,no,3.5,278,0.86,14,4.69,18,369,shop_visit,busy,1
not_working,printer,high,no,4.0,2449,0.93,10,3.37,109,1540,home_service,available,0
slow_performance,laptop,low,yes,5.0,232,0.32,4,6.0,39,2577,shop_visit,available,0
overheating,cctv,low,no,3.4,291,0.38,10,0.5,24,1819,shop_visit,offline,1
power_issue,desktop,low,yes,3.7,1421,0.49,0,7.14,97,486,home_service,busy,0
power_issue,desktop,low,yes,3.8,2190,0.92,8,5.99,76,2772,home_service,available,1
strange_noise,scanner,medium,yes,2.2,199,0.83,4,13.01,116,982,home_service,available,1
wifi_issue,router,high,no,3.5,1466,0.81,9,13.6,94,1857,shop_visit,available,1
wifi_issue,printer,low,no,3.9,494,0.33,2,14.68,88,2175,home_service,busy,1
strange_noise,printer,medium,yes,3.9,1839,0.68,11,6.7,67,2211,shop_visit,available,0
wifi_issue,scanner,medium,yes,1.9,14,0.89,3,7.03,82,848,shop_visit,busy,1
power_issue,scanner,low,yes,4.5,64,0.74,8,6.05,62,2596,home_service,available,0
strange_noise,laptop,low,no,3.6,2119,0.72,14,2.03,91,2211,shop_visit,available,1
broken_screen,desktop,medium,yes,2.4,1688,0.65,8,7.43,23,2397,home_service,available,1
overheating,desktop,high,yes,4.2,2206,0.62,7,14.52,35,2918,shop_visit,available,1
wifi_issue,router,medium,no,4.2,445,0.79,3,14.55,31,584,shop_visit,available,1
broken_screen,scanner,medium,yes,4.5,612,0.71,15,1.1,29,1698,home_service,available,1
not_working,laptop,medium,yes,1.5,1693,0.46,3,9.89,21,1073,home_service,available,1
broken_screen,laptop,high,no,3.5,2302,0.49,1,1.72,72,2687,home_service,available,1
broken_screen,cctv,medium,no,4.3,1783,0.89,1,1.45,49,2523,home_service,offline,0
overheating,printer,high,no,4.6,735,0.4,4,11.22,104,1959,home_service,available,1
overheating,laptop,low,no,4.2,2378,0.7,1,12.13,104,2944,shop_visit,available,1
not_working,laptop,high,no,3.8,772,0.6,6,6.28,89,2443,home_service,offline,0
overheating,desktop,low,no,4.0,2047,0.73,1,12.14,109,2773,shop_visit,available,1
power_issue,scanner,low,no,4.2,613,0.91,8,2.74,63,351,home_service,available,1
slow_performance,scanner,high,no,3.4,2596,0.62,7,1.21,78,380,home_service,busy,1
broken_screen,laptop,high,no,1.5,353,0.54,8,13.39,70,614,shop_visit,available,1
not_working,cctv,low,no,3.1,1513,0.88,7,2.99,30,1889,home_service,busy,0
wifi_issue,desktop,low,yes,4.4,2932,0.31,11,5.65,31,2967,shop_visit,available,1
overheating,desktop,high,no,1.7,2804,0.91,13,7.94,112,2091,home_service,available,1
overheating,scanner,medium,yes,4.9,1647,0.53,4,7.8,36,2230,home_service,busy,0
overheating,printer,medium,no,3.0,2185,0.65,15,1.31,77,2048,shop_visit,available,1
wifi_issue,scanner,medium,no,3.6,2714,0.37,14,4.09,29,2778,home_service,available,1
not_working,laptop,high,no,2.7,2326,0.54,5,6.84,70,1199,home_service,available,0
overheating,scanner,low,no,4.4,366,0.72,13,14.29,99,1990,shop_visit,available,1
not_working,cctv,low,no,2.1,242,0.93,12,7.98,101,399,shop_visit,available,1
wifi_issue,desktop,low,yes,1.6,1359,0.49,9,12.54,102,1160,home_service,busy,1
not_working,cctv,low,no,2.5,1865,0.72,15,12.58,63,1101,home_service,available,1
strange_noise,cctv,low,yes,4.4,2934,0.64,13,3.78,47,1245,shop_visit,available,0
power_issue,scanner,high,yes,3.1,1969,0.92,9,3.1,18,1091,home_service,available,1
slow_performance,desktop,high,yes,4.4,2829,0.78,3,1.7,108,319,home_service,offline,1
slow_performance,cctv,high,yes,3.1,1807,0.87,6,5.41,45,811,shop_visit,offline,0
not_working,laptop,medium,no,2.7,1247,0.63,6,9.82,120,1062,shop_visit,busy,0
wifi_issue,cctv,high,yes,1.6,142,0.73,4,5.3,49,353,shop_visit,available,0
strange_noise,desktop,medium,yes,2.5,1805,0.85,13,11.64,42,571,home_service,busy,0
strange_noise,cctv,low,yes,3.5,1593,0.33,1,14.01,107,1064,home_service,busy,1
wifi_issue,cctv,low,yes,2.4,994,0.65,3,10.22,9,2568,shop_visit,available,1
broken_screen,scanner,high,yes,2.2,2167,0.91,13,14.77,119,2876,home_service,available,0
power_issue,cctv,medium,no,3.0,406,0.69,4,10.53,9,1474,shop_visit,available,0
not_working,scanner,medium,yes,3.3,841,0.84,3,2.64,89,1822,home_service,busy,0
strange_noise,cctv,low,yes,2.9,2160,0.82,11,7.87,45,2242,home_service,available,0
power_issue,cctv,medium,yes,2.1,1542,0.92,1,6.13,33,1983,shop_visit,available,0
wifi_issue,laptop,high,no,4.5,784,0.36,10,13.23,62,442,shop_visit,available,1
wifi_issue,printer,high,yes,1.9,503,0.65,15,13.75,74,2853,shop_visit,available,0
power_issue,desktop,low,no,4.0,1379,0.56,2,11.16,86,1703,shop_visit,available,0
not_working,desktop,low,no,2.9,2293,0.9,13,5.71,53,2558,home_service,busy,0
not_working,laptop,low,no,4.4,1822,0.83,14,13.87,111,2956,shop_visit,available,0
strange_noise,printer,medium,no,4.0,133,0.64,12,3.75,21,1357,shop_visit,offline,0
not_working,cctv,low,no,1.8,2776,0.4,13,7.06,82,254,shop_visit,available,0
slow_performance,printer,low,yes,3.5,2996,0.82,6,11.64,95,2557,home_service,offline,1
strange_noise,printer,medium,yes,3.0,1390,0.64,4,10.07,40,336,home_service,available,1
strange_noise,laptop,low,no,2.7,890,0.5,14,13.46,89,1768,shop_visit,busy,0
broken_screen,router,medium,yes,1.9,789,0.48,12,7.38,39,2030,home_service,busy,0
not_working,laptop,high,no,2.4,1604,0.76,11,6.62,61,452,home_service,offline,0
strange_noise,printer,high,no,2.2,127,0.54,1,13.62,52,255,shop_visit,available,0
power_issue,router,low,no,3.2,923,0.82,3,12.25,85,1983,shop_visit,busy,0
power_issue,cctv,low,no,2.9,2117,0.4,7,0.59,27,2422,home_service,available,0
overheating,laptop,medium,yes,4.9,1415,0.94,6,11.79,78,2637,shop_visit,available,1
not_working,printer,medium,yes,2.5,2098,0.65,7,11.25,87,1450,shop_visit,available,1
slow_performance,cctv,high,no,4.8,1894,0.84,4,11.52,62,2419,shop_visit,available,1
wifi_issue,desktop,medium,no,2.7,1956,0.94,12,11.61,8,1412,shop_visit,available,1
broken_screen,router,medium,no,3.3,2036,0.62,15,5.06,74,1415,shop_visit,busy,1
slow_performance,cctv,high,no,2.5,631,0.75,4,12.67,53,1951,shop_visit,busy,0
broken_screen,cctv,high,no,4.7,868,0.34,3,4.36,108,546,home_service,available,1
not_working,router,high,no,4.9,892,0.5,10,5.83,36,1688,home_service,busy,1
slow_performance,desktop,high,yes,3.7,1405,0.37,3,11.86,50,2958,shop_visit,busy,0
slow_performance,printer,medium,yes,3.1,553,0.61,11,13.84,12,2797,home_service,available,1
not_working,desktop,medium,yes,1.7,777,0.37,6,4.46,37,1361,home_service,available,1
wifi_issue,cctv,low,no,3.4,539,0.56,12,12.22,22,980,shop_visit,available,0
strange_noise,desktop,low,yes,2.1,964,0.57,8,5.83,30,2531,home_service,available,0
not_working,cctv,high,yes,2.7,2141,0.59,2,11.36,103,1749,home_service,available,1
not_working,router,high,no,4.9,992,0.93,14,12.28,95,2904,shop_visit,offline,0
slow_performance,printer,high,yes,4.8,481,0.79,8,14.15,24,1270,shop_visit,offline,0
broken_screen,laptop,low,yes,2.6,2087,0.74,4,9.93,103,1516,home_service,available,1
broken_screen,desktop,high,no,2.0,2577,0.36,10,14.36,36,1163,home_service,available,0
power_issue,desktop,medium,yes,4.3,1505,0.59,2,10.02,19,564,home_service,available,1
broken_screen,scanner,low,no,2.7,1070,0.58,2,8.75,115,2928,shop_visit,available,0
power_issue,printer,medium,yes,2.9,579,0.74,0,7.94,76,474,home_service,available,0
power_issue,desktop,high,no,4.5,2878,0.78,10,1.78,111,233,shop_visit,available,1
not_working,router,high,yes,4.1,2863,0.4,5,3.66,35,1285,home_service,available,0
not_working,scanner,high,no,4.8,479,0.49,10,14.44,117,1816,home_service,busy,0
wifi_issue,laptop,high,yes,3.7,220,0.78,4,13.55,78,1121,home_service,available,1
overheating,printer,low,no,3.1,1514,0.5,11,14.38,76,1834,home_service,busy,0
broken_screen,router,high,no,2.5,170,0.51,2,8.09,5,217,shop_visit,available,1
strange_noise,laptop,high,yes,4.5,2485,0.31,3,5.03,56,1590,shop_visit,available,0
strange_noise,desktop,medium,no,3.9,1364,0.78,9,12.83,119,2625,shop_visit,available,1
broken_screen,desktop,high,no,4.1,2419,0.68,3,10.54,81,2630,shop_visit,available,1
overheating,laptop,medium,no,1.5,2400,0.64,6,9.09,75,265,home_service,available,0
not_working,printer,low,no,4.2,1839,0.87,15,1.18,34,1061,home_service,available,1
strange_noise,laptop,low,yes,2.6,812,0.53,2,13.26,75,445,shop_visit,available,0
strange_noise,scanner,low,yes,1.6,2972,0.51,15,3.68,48,2075,home_service,available,1
overheating,scanner,high,yes,3.5,907,0.52,13,9.08,24,1909,shop_visit,busy,1
power_issue,desktop,low,no,1.9,1709,0.42,0,6.64,71,1406,home_service,busy,1
strange_noise,printer,low,yes,3.8,1319,0.6,9,3.89,15,988,home_service,busy,1
broken_screen,router,medium,no,2.1,666,0.91,15,3.54,85,813,home_service,available,1
not_working,laptop,low,yes,4.5,2900,0.49,0,3.81,115,1871,shop_visit,offline,1
slow_performance,cctv,medium,yes,4.4,2557,0.45,12,1.11,91,1259,shop_visit,available,1
overheating,desktop,high,yes,2.5,2818,0.35,5,1.35,50,1480,home_service,available,1
strange_noise,desktop,medium,no,3.1,2917,0.41,3,9.44,66,469,shop_visit,busy,0
overheating,laptop,medium,no,1.7,2230,0.52,4,4.07,72,2531,shop_visit,busy,1
wifi_issue,desktop,high,yes,2.4,1965,0.78,11,4.36,15,2385,home_service,offline,0
slow_performance,printer,high,no,2.7,2076,0.67,15,5.13,113,1146,shop_visit,busy,1
wifi_issue,scanner,low,yes,3.2,1543,0.31,14,7.13,29,2245,home_service,available,1
broken_screen,desktop,medium,no,2.7,2137,0.9,4,2.83,50,1301,shop_visit,busy,1
not_working,laptop,low,yes,2.5,2950,0.35,4,1.79,95,2693,home_service,available,1
wifi_issue,printer,medium,yes,4.1,1052,0.52,8,7.41,112,2640,shop_visit,available,0
strange_noise,printer,low,no,3.6,1182,0.4,0,7.56,109,2259,shop_visit,available,0
broken_screen,router,high,no,2.2,2099,0.69,6,2.65,67,963,home_service,busy,0
power_issue,desktop,high,yes,4.9,2377,0.79,15,6.8,110,1993,home_service,available,1
strange_noise,cctv,high,no,4.4,2448,0.74,2,14.31,118,206,shop_visit,busy,1
strange_noise,scanner,high,yes,4.9,2709,0.57,6,12.19,45,2015,shop_visit,busy,0
wifi_issue,printer,high,no,4.2,380,0.69,1,9.58,85,1629,home_service,available,0
slow_performance,printer,high,no,2.8,733,0.49,11,12.64,104,2517,home_service,busy,1
overheating,scanner,medium,yes,3.7,2639,0.37,4,10.68,12,477,shop_visit,offline,0
strange_noise,desktop,medium,no,2.7,2571,0.33,4,14.39,72,1499,shop_visit,available,1
power_issue,desktop,low,yes,2.2,984,0.54,13,8.2,66,1192,home_service,available,1
slow_performance,laptop,medium,no,4.8,1829,0.73,9,5.84,64,1244,home_service,busy,1
power_issue,cctv,high,yes,3.0,1816,0.89,11,11.8,89,2934,shop_visit,busy,1
overheating,cctv,low,no,2.5,2825,0.73,3,15.0,17,2736,home_service,available,0
broken_screen,laptop,medium,no,1.6,1667,0.92,12,12.8,19,2481,shop_visit,available,1
slow_performance,laptop,low,yes,4.2,1575,0.33,1,2.18,113,347,shop_visit,available,0
slow_performance,laptop,medium,yes,2.8,2235,0.8,5,11.57,63,2593,home_service,available,0
broken_screen,cctv,high,yes,2.8,296,0.37,1,8.0,71,2173,home_service,offline,0
broken_screen,laptop,high,no,2.5,2398,0.59,11,13.12,52,563,home_service,available,0
wifi_issue,printer,low,no,2.4,2257,0.92,14,8.16,97,253,shop_visit,available,0
wifi_issue,printer,high,no,1.9,2244,0.76,4,9.0,48,2252,home_service,available,1
not_working,scanner,low,yes,4.4,800,0.93,8,8.32,42,538,shop_visit,available,0
overheating,router,high,no,3.6,1293,0.55,13,9.27,45,1782,home_service,busy,1
wifi_issue,printer,high,yes,4.4,185,0.45,2,2.73,77,1228,home_service,offline,1
slow_performance,desktop,medium,yes,2.0,2054,0.75,2,12.68,55,2701,home_service,available,1
broken_screen,router,high,no,2.7,2220,0.45,13,3.31,27,612,shop_visit,available,0
broken_screen,printer,medium,yes,2.0,1366,0.88,14,13.97,33,2629,shop_visit,available,0
